"DATE_AND_TIME";"DATE";"TIME";"GAME";"RESULT";"ATTENDENCE";"STADIUM";"SEASON";"WEEKDAY";"HOME_OR_AWAY";"TEAM";"HOME_TEAM";"AWAY_TEAM";"OPPONENT";"HOME_GOALS";"AWAY_GOALS";"GOAL_FOR";"GOAL_AGAINST";"GOAL_DIFF";"GAMES_PLAYED";"POINTS";"W";"D";"L";"CUM_GOAL_FOR";"CUM_GOAL_AGAINST";"CUM_GOAL_DIFF";"CUM_GAMES_PLAYED";"CUM_POINTS";"CUM_W";"CUM_D";"CUM_L";"CUM_POSITION";"LATEST_POSITION_PER_SEASON"
2001-04-08 13:30:00;2001-04-08;"13:30";"IFK Norrköping - IF Elfsborg";"0 - 3";9250;"Norrköpings Idrottspark";2001;"söndag";"AWAY";"IF Elfsborg";"IFK Norrköping";"IF Elfsborg";"IFK Norrköping";0;3;3;0;3;1;3;1;0;0;3;0;3;1;3;1;0;0;1;10
2001-04-09 19:00:00;2001-04-09;"19:00";"Malmö FF - AIK";"2 - 0";17100;"Malmö Stadion";2001;"måndag";"HOME";"Malmö FF";"Malmö FF";"AIK";"AIK";2;0;2;0;2;1;3;1;0;0;2;0;2;1;3;1;0;0;2;9
2001-04-08 13:30:00;2001-04-08;"13:30";"BK Häcken - Halmstads BK";"2 - 1";2826;"Rambergsvallen";2001;"söndag";"HOME";"BK Häcken";"BK Häcken";"Halmstads BK";"Halmstads BK";2;1;2;1;1;1;3;1;0;0;2;1;1;1;3;1;0;0;3;13
2001-04-09 19:00:00;2001-04-09;"19:00";"IFK Göteborg - Helsingborgs IF";"2 - 1";11599;"Gamla Ullevi";2001;"måndag";"HOME";"IFK Göteborg";"IFK Göteborg";"Helsingborgs IF";"Helsingborgs IF";2;1;2;1;1;1;3;1;0;0;2;1;1;1;3;1;0;0;4;4
2001-04-07 13:30:00;2001-04-07;"13:30";"Hammarby - GIF Sundsvall";"1 - 0";10196;"Söderstadion 1";2001;"lördag";"HOME";"Hammarby";"Hammarby";"GIF Sundsvall";"GIF Sundsvall";1;0;1;0;1;1;3;1;0;0;1;0;1;1;3;1;0;0;5;1
2001-04-18 19:00:00;2001-04-18;"19:00";"Örgryte IS - Hammarby";"3 - 3";3228;"Gamla Ullevi";2001;"onsdag";"HOME";"Örgryte IS";"Örgryte IS";"Hammarby";"Hammarby";3;3;3;3;0;1;1;0;1;0;3;3;0;1;1;0;1;0;6;6
2001-04-16 15:00:00;2001-04-16;"15:00";"AIK - Örebro SK";"0 - 0";15997;"Råsunda";2001;"måndag";"AWAY";"Örebro SK";"AIK";"Örebro SK";"AIK";0;0;0;0;0;1;1;0;1;0;0;0;0;1;1;0;1;0;7;8
2001-04-08 13:30:00;2001-04-08;"13:30";"BK Häcken - Halmstads BK";"2 - 1";2826;"Rambergsvallen";2001;"söndag";"AWAY";"Halmstads BK";"BK Häcken";"Halmstads BK";"BK Häcken";2;1;1;2;-1;1;0;0;0;1;1;2;-1;1;0;0;0;1;8;7
2001-04-09 19:00:00;2001-04-09;"19:00";"IFK Göteborg - Helsingborgs IF";"2 - 1";11599;"Gamla Ullevi";2001;"måndag";"AWAY";"Helsingborgs IF";"IFK Göteborg";"Helsingborgs IF";"IFK Göteborg";2;1;1;2;-1;1;0;0;0;1;1;2;-1;1;0;0;0;1;9;5
2001-04-17 19:00:00;2001-04-17;"19:00";"Helsingborgs IF - Djurgården";"1 - 0";12869;"Olympia, Helsingborg";2001;"tisdag";"AWAY";"Djurgården";"Helsingborgs IF";"Djurgården";"Helsingborgs IF";1;0;0;1;-1;1;0;0;0;1;0;1;-1;1;0;0;0;1;10;2
2001-04-07 13:30:00;2001-04-07;"13:30";"Hammarby - GIF Sundsvall";"1 - 0";10196;"Söderstadion 1";2001;"lördag";"AWAY";"GIF Sundsvall";"Hammarby";"GIF Sundsvall";"Hammarby";1;0;0;1;-1;1;0;0;0;1;0;1;-1;1;0;0;0;1;11;11
2001-04-13 15:00:00;2001-04-13;"15:00";"Trelleborgs FF - IFK Norrköping";"0 - 1";2490;"A-plan";2001;"fredag";"HOME";"Trelleborgs FF";"Trelleborgs FF";"IFK Norrköping";"IFK Norrköping";0;1;0;1;-1;1;0;0;0;1;0;1;-1;1;0;0;0;1;12;14
2001-04-09 19:00:00;2001-04-09;"19:00";"Malmö FF - AIK";"2 - 0";17100;"Malmö Stadion";2001;"måndag";"AWAY";"AIK";"Malmö FF";"AIK";"Malmö FF";2;0;0;2;-2;1;0;0;0;1;0;2;-2;1;0;0;0;1;13;3
2001-04-08 13:30:00;2001-04-08;"13:30";"IFK Norrköping - IF Elfsborg";"0 - 3";9250;"Norrköpings Idrottspark";2001;"söndag";"HOME";"IFK Norrköping";"IFK Norrköping";"IF Elfsborg";"IF Elfsborg";0;3;0;3;-3;1;0;0;0;1;0;3;-3;1;0;0;0;1;14;12
2001-04-16 15:00:00;2001-04-16;"15:00";"IF Elfsborg - Malmö FF";"0 - 2";11611;"Ryavallen";2001;"måndag";"AWAY";"Malmö FF";"IF Elfsborg";"Malmö FF";"IF Elfsborg";0;2;2;0;2;1;3;1;0;0;4;0;4;2;6;2;0;0;1;9
2001-04-22 13:30:00;2001-04-22;"13:30";"Trelleborgs FF - Örgryte IS";"1 - 4";1887;"A-plan";2001;"söndag";"AWAY";"Örgryte IS";"Trelleborgs FF";"Örgryte IS";"Trelleborgs FF";1;4;4;1;3;1;3;1;0;0;7;4;3;2;4;1;1;0;2;6
2001-04-18 19:00:00;2001-04-18;"19:00";"Örgryte IS - Hammarby";"3 - 3";3228;"Gamla Ullevi";2001;"onsdag";"AWAY";"Hammarby";"Örgryte IS";"Hammarby";"Örgryte IS";3;3;3;3;0;1;1;0;1;0;4;3;1;2;4;1;1;0;3;1
